NomChamp;Type;Taille;Index;_N° champ invariable;_Valeur obligatoire;_Valeur min;_Valeur max;_Valeur par défaut;_Valeur modèle;_Référence table;_Type référence table
"IdSimule";"A";30;"*";1;"";"";"";"";"";"";""
"NumeroSimule";"I";;"*";2;"";"";"";"";"";"";""
"Jour";"D";;"*";3;"";"";"";"";"";"";""
"NbJas";"N";;"";4;"";"";"";"";"";"";""
"NumPhase";"N";;"";5;"";"";"";"";"";"";""
"DegresDuJour";"N";;"";6;"";"";"";"";"";"";""
"DegresDuJourCor";"N";;"";7;"";"";"";"";"";"";""
"Lai";"N";;"";8;"";"";"";"";"";"";""
"MaxLai";"N";;"";9;"";"";"";"";"";"";""
"Kdfcl";"N";;"";10;"";"";"";"";"";"";""
"FTSW";"N";;"";11;"";"";"";"";"";"";""
"Cstr";"N";;"";12;"";"";"";"";"";"";""
"RootFront";"N";;"";13;"";"";"";"";"";"";""
"Eto";"N";;"";14;"";"";"";"";"";"";""
"ETM";"N";;"";15;"";"";"";"";"";"";""
"ETR";"N";;"";16;"";"";"";"";"";"";""
"RUE";"N";;"";17;"";"";"";"";"";"";""
"ConversionEff";"N";;"";18;"";"";"";"";"";"";""
"Ic";"N";;"";19;"";"";"";"";"";"";""
"TilNumPlant";"N";;"";20;"";"";"";"";"";"";""
"CulmsPerPlant";"N";;"";21;"";"";"";"";"";"";""
"TilNumPop";"N";;"";22;"";"";"";"";"";"";""
"CulmsPop";"N";;"";23;"";"";"";"";"";"";""
"CulmsPerHill";"N";;"";24;"";"";"";"";"";"";""
"GrainYieldPop";"N";;"";25;"";"";"";"";"";"";""
"DryMatStructLeafPop";"N";;"";26;"";"";"";"";"";"";""
"DryMatStructSheathPop";"N";;"";27;"";"";"";"";"";"";""
"DryMatStructRootPop";"N";;"";28;"";"";"";"";"";"";""
"DryMatStructInternodePop";"N";;"";29;"";"";"";"";"";"";""
"DryMatResInternodePop";"N";;"";30;"";"";"";"";"";"";""
"DryMatStructPaniclePop";"N";;"";31;"";"";"";"";"";"";""
"DryMatStructTotPop";"N";;"";32;"";"";"";"";"";"";""
"DryMatVegeTotPop";"N";;"";33;"";"";"";"";"";"";""
"DryMatPanicleTotPop";"N";;"";34;"";"";"";"";"";"";""
"DryMatStemPop";"N";;"";35;"";"";"";"";"";"";""
"DryMatAboveGroundPop";"N";;"";36;"";"";"";"";"";"";""
"DryMatTotPop";"N";;"";37;"";"";"";"";"";"";""
"SterilityCold";"N";;"";38;"";"";"";"";"";"";""
"SterilityHeat";"N";;"";39;"";"";"";"";"";"";""
"SterilityDrought";"N";;"";40;"";"";"";"";"";"";""
"SterilityTot";"N";;"";41;"";"";"";"";"";"";""
"HarvestIndex";"N";;"";42;"";"";"";"";"";"";""
"PanicleNumPop";"N";;"";43;"";"";"";"";"";"";""
"PanicleNumPlant";"N";;"";44;"";"";"";"";"";"";""
"GrainYieldPanicle";"N";;"";45;"";"";"";"";"";"";""
"SpikeNumPop";"N";;"";46;"";"";"";"";"";"";""
"SpikeNumPanicle";"N";;"";47;"";"";"";"";"";"";""
"FertSpikeNumPop";"N";;"";48;"";"";"";"";"";"";""
"GrainFillingStatus";"N";;"";49;"";"";"";"";"";"";""
"PhaseStemElongation";"N";;"";50;"";"";"";"";"";"";""
"Sla";"N";;"";51;"";"";"";"";"";"";""
"HaunIndex";"N";;"";52;"";"";"";"";"";"";""
"ApexHeight";"N";;"";53;"";"";"";"";"";"";""
"PlantHeight";"N";;"";54;"";"";"";"";"";"";""
"PlantWidth";"N";;"";55;"";"";"";"";"";"";""
"VitesseRacinaireDay";"N";;"";56;"";"";"";"";"";"";""
"Kcl";"N";;"";57;"";"";"";"";"";"";""
"KRolling";"N";;"";58;"";"";"";"";"";"";""
"LIRkdfcl";"N";;"";59;"";"";"";"";"";"";""
"LTRkdfcl";"N";;"";60;"";"";"";"";"";"";""
"AssimPot";"N";;"";61;"";"";"";"";"";"";""
"Assim";"N";;"";62;"";"";"";"";"";"";""
"RespMaintTot";"N";;"";63;"";"";"";"";"";"";""
"SupplyTot";"N";;"";64;"";"";"";"";"";"";""
"AssimSurplus";"N";;"";65;"";"";"";"";"";"";""
"AssimNotUsed";"N";;"";66;"";"";"";"";"";"";""
"AssimNotUsedCum";"N";;"";67;"";"";"";"";"";"";""
"IcMean";"N";;"";68;"";"";"";"";"";"";""
"CstrMean";"N";;"";69;"";"";"";"";"";"";""
"TillerDeathPop";"N";;"";70;"";"";"";"";"";"";""
"PlantLeafNumTot";"N";;"";71;"";"";"";"";"";"";""
"DeadLeafdrywtPop";"N";;"";72;"";"";"";"";"";"";""
"LaiDead";"N";;"";73;"";"";"";"";"";"";""
"ResCapacityInternodePop";"N";;"";74;"";"";"";"";"";"";""
"InternodeResStatus";"N";;"";75;"";"";"";"";"";"";""
"DayLength";"N";;"";76;"";"";"";"";"";"";""
"Par";"N";;"";77;"";"";"";"";"";"";""
"RgCalc";"N";;"";78;"";"";"";"";"";"";""
"VDPCalc";"N";;"";79;"";"";"";"";"";"";""
"TMoyCalc";"N";;"";80;"";"";"";"";"";"";""
"HMoyCalc";"N";;"";81;"";"";"";"";"";"";""
"KceReal";"N";;"";82;"";"";"";"";"";"";""
"StockTotal";"N";;"";83;"";"";"";"";"";"";""
"EauDispo";"N";;"";84;"";"";"";"";"";"";""
"StockSurface";"N";;"";85;"";"";"";"";"";"";""
"StockRac";"N";;"";86;"";"";"";"";"";"";""
"RURac";"N";;"";87;"";"";"";"";"";"";""
"Kcp";"N";;"";88;"";"";"";"";"";"";""
"Kce";"N";;"";89;"";"";"";"";"";"";""
"EvapPot";"N";;"";90;"";"";"";"";"";"";""
"Evap";"N";;"";91;"";"";"";"";"";"";""
"TrPot";"N";;"";92;"";"";"";"";"";"";""
"Tr";"N";;"";93;"";"";"";"";"";"";""
"Lr";"N";;"";94;"";"";"";"";"";"";""
"Dr";"N";;"";95;"";"";"";"";"";"";""
"ParIntercepte";"N";;"";96;"";"";"";"";"";"";""
"SumDegresDay";"N";;"";97;"";"";"";"";"";"";""
"BiomasseTotale";"N";;"";98;"";"";"";"";"";"";""
"BiomasseAerienne";"N";;"";99;"";"";"";"";"";"";""
"BiomasseFeuilles";"N";;"";100;"";"";"";"";"";"";""
"BiomasseTiges";"N";;"";101;"";"";"";"";"";"";""
"BiomasseVegetative";"N";;"";102;"";"";"";"";"";"";""
"BiomasseRacinaire";"N";;"";103;"";"";"";"";"";"";""
"Rdt";"N";;"";104;"";"";"";"";"";"";""
"VitesseRacinaire";"N";;"";105;"";"";"";"";"";"";""
"FESW";"N";;"";106;"";"";"";"";"";"";""
"Kc";"N";;"";107;"";"";"";"";"";"";""
"DeltaDegresJour";"N";;"";108;"";"";"";"";"";"";""
"Ltr";"N";;"";109;"";"";"";"";"";"";""
"CstrAssim";"N";;"";110;"";"";"";"";"";"";""
"DRespMaint";"N";;"";111;"";"";"";"";"";"";""
"DBiomTot";"N";;"";112;"";"";"";"";"";"";""
"DRdtPot";"N";;"";113;"";"";"";"";"";"";""
"Reallocation";"N";;"";114;"";"";"";"";"";"";""
"DRdt";"N";;"";115;"";"";"";"";"";"";""
"RdtPot";"N";;"";116;"";"";"";"";"";"";""
"HauteurCulture";"N";;"";117;"";"";"";"";"";"";""
"Sterilite";"N";;"";118;"";"";"";"";"";"";""
"CodeModele";"I";;"";119;"";"";"";"";"";"";""
"CodeParcelle";"I";;"";120;"";"";"";"";"";"";""
"StressCstr";"N";;"";121;"";"";"";"";"";"";""
"StressTMin";"N";;"";122;"";"";"";"";"";"";""
"StressTMax";"N";;"";123;"";"";"";"";"";"";""
"TankVolume";"N";;"";124;"";"";"";"";"";"";""
"IrrigApplied";"N";;"";125;"";"";"";"";"";"";""
"ArriveeEauJour_out";"N";;"";126;"";"";"";"";"";"";""
"StorageCapacity_out";"N";;"";127;"";"";"";"";"";"";""
"IrrigMini_out";"N";;"";128;"";"";"";"";"";"";""
"IrrigMaxi_out";"N";;"";129;"";"";"";"";"";"";""
"IrrigSeuil_out";"N";;"";130;"";"";"";"";"";"";""
"IrrigCoef_out";"N";;"";131;"";"";"";"";"";"";""
"VitDr_out";"N";;"";132;"";"";"";"";"";"";""
"NbLoaded";"N";;"";133;"";"";"";"";"";"";""
"ReallocationMax";"N";;"";134;"";"";"";"";"";"";""
"CumulPluie1";"N";;"";135;"";"";"";"";"";"";""
"CumulPluie2";"N";;"";136;"";"";"";"";"";"";""
"Infiltration";"N";;"";137;"";"";"";"";"";"";""
"Drainage";"N";;"";138;"";"";"";"";"";"";""
"CumulDrainage1";"N";;"";139;"";"";"";"";"";"";""
"NbJourPluvieux";"N";;"";140;"";"";"";"";"";"";""
"DeltaDegresJourCor";"N";;"";141;"";"";"";"";"";"";""
"KceTemp";"N";;"";142;"";"";"";"";"";"";""
"RayExtra";"N";;"";143;"";"";"";"";"";"";""
"KcReal";"N";;"";144;"";"";"";"";"";"";""
"CumPAR";"N";;"";145;"";"";"";"";"";"";""
"SumDegreDayCor";"N";;"";146;"";"";"";"";"";"";""
"SumPP";"N";;"";147;"";"";"";"";"";"";""
"SumDDPhasePrec";"N";;"";148;"";"";"";"";"";"";""
"SeuilTemp";"N";;"";149;"";"";"";"";"";"";""
"RespMaintDebt";"N";;"";150;"";"";"";"";"";"";""
"TMinMoy";"N";;"";151;"";"";"";"";"";"";""
"TMaxMoy";"N";;"";152;"";"";"";"";"";"";""
"FtswMoy";"N";;"";153;"";"";"";"";"";"";""
"ResInternodeMobiliDay";"N";;"";154;"";"";"";"";"";"";""
"RootShootRatio";"N";;"";155;"";"";"";"";"";"";""
"TrEffInst";"N";;"";156;"";"";"";"";"";"";""
"TrEff";"N";;"";157;"";"";"";"";"";"";""
"WueEt";"N";;"";158;"";"";"";"";"";"";""
"WueTot";"N";;"";159;"";"";"";"";"";"";""
"SlaMitch";"N";;"";160;"";"";"";"";"";"";""
"FloodwaterDepth";"N";;"";161;"";"";"";"";"";"";""
"Irrig";"N";;"";162;"";"";"";"";"";"";""
"IrrigAutoDay";"N";;"";163;"";"";"";"";"";"";""
"IrrigTotDay";"N";;"";164;"";"";"";"";"";"";""
"FractionPlantHeightSubmer";"N";;"";165;"";"";"";"";"";"";""
"Density";"N";;"";166;"";"";"";"";"";"";""
"RootMassPerVol";"N";;"";167;"";"";"";"";"";"";""
"CumTr";"N";;"";168;"";"";"";"";"";"";""
"CumEt";"N";;"";169;"";"";"";"";"";"";""
"CumWUse";"N";;"";170;"";"";"";"";"";"";""
"CumWReceived";"N";;"";171;"";"";"";"";"";"";""
"CumIrrig";"N";;"";172;"";"";"";"";"";"";""
"CumDr";"N";;"";173;"";"";"";"";"";"";""
"CumLr";"N";;"";174;"";"";"";"";"";"";""
"VolMacropores";"N";;"";175;"";"";"";"";"";"";""
"StockMacropores";"N";;"";176;"";"";"";"";"";"";""
"IcCum";"N";;"";177;"";"";"";"";"";"";""
"CstrCum";"N";;"";178;"";"";"";"";"";"";""
"SlaNew";"N";;"";179;"";"";"";"";"";"";""
"LTRkdf";"N";;"";180;"";"";"";"";"";"";""
"LIRkdf";"N";;"";181;"";"";"";"";"";"";""
"GrowthStrucTotPop";"N";;"";182;"";"";"";"";"";"";""
"RelPotLeafLength";"N";;"";183;"";"";"";"";"";"";""
"ApexHeightGain";"N";;"";184;"";"";"";"";"";"";""
"Haungain";"N";;"";185;"";"";"";"";"";"";""
"Conversion";"N";;"";186;"";"";"";"";"";"";""
"RootFrontOld";"N";;"";187;"";"";"";"";"";"";""
"SimStartGermin";"N";;"";188;"";"";"";"";"";"";""
"SimEmergence";"N";;"";189;"";"";"";"";"";"";""
"SimStartPSP";"N";;"";190;"";"";"";"";"";"";""
"SimPanIni";"N";;"";191;"";"";"";"";"";"";""
"SimAnthesis50";"N";;"";192;"";"";"";"";"";"";""
"SimStartMatu2";"N";;"";193;"";"";"";"";"";"";""
"SimEndCycle";"N";;"";194;"";"";"";"";"";"";""
"StressCold";"N";;"";195;"";"";"";"";"";"";""
"CulmsPerPlantMax";"N";;"";196;"";"";"";"";"";"";""
"CulmsPerHillMax";"N";;"";197;"";"";"";"";"";"";""
"DurGermFlow";"N";;"";198;"";"";"";"";"";"";""
"DurGermMat";"N";;"";199;"";"";"";"";"";"";""
"LaiFin";"N";;"";200;"";"";"";"";"";"";""
"CulmsPerHillFin";"N";;"";201;"";"";"";"";"";"";""
"CulmsPerPlantFin";"N";;"";202;"";"";"";"";"";"";""
"GrainYieldPopFin";"N";;"";203;"";"";"";"";"";"";""
"DryMatAboveGroundPopFin";"N";;"";204;"";"";"";"";"";"";""
"ReservePopFin";"N";;"";205;"";"";"";"";"";"";""
"FractionRootsLogged";"N";;"";206;"";"";"";"";"";"";""
"ResUtil";"N";;"";207;"";"";"";"";"";"";""
"KcTot";"N";;"";208;"";"";"";"";"";"";""
